Статус;Дата изменения;Полное название организации;Наименование социальной задачи;Выберите направление социальной задачи ( До 3х напрвлений);Опишите социальную задачу, которую должен решить обучающийся, и как эта задача связана с деятельностью организации;Опишите целевую аудиторию благополучателей решаемой социальной задачи;Опишите предполагаемый механизм действий в ходе выполнения социальной задачи;Желаемый продукт по итогам выполнения социальной задачи;C10;C11;C12;C13
Отклонена;2024-09-23;"Благотворительный фонд реабилитации детей, перенесших тяжёлые заболевания """"Шередарь""""";Социальное волонтёрство на реабилитационной программе для детей в тяжёлой жизненной ситуации;Инклюзия. Проекты, направленные на создание условий для полноценного участия людей с ограниченными возможностями в общественной жизни, образовании и иных сферах;Миссия Фонда -  изменить к лучшему жизнь каждого человека, столкнувшегося с травмирующим опытом.   Физические, социальные и ментальные особенности участников программы обуславливают необходимость в  индивидуальном подходе и поддержке на протяжении всей смены.   Для обеспечения безопасного и качественного восстановления участников на каждую программу Фонду необходимы 40-60 волонтеров, готовых попробовать себя в социальном волонтерстве.;На сегодняшний день Фонд реализует программы реабилитации по онкологическому профилю (дети, подростки и молодые взрослые в ремиссии после злокачественного онкологического заболевания, члены их семей). Мы также запускаем работу с психотравмой – в ноябре 2024 года пройдёт программа для подростков, являющихся добровольными или вынужденными переселенцами, ранее проживавшими на территории проведения специальной военной операции.;Заполнить заявку на волонтёрство на сайте https://www.sheredar.ru/volunteers Пройти онлайн-собеседование с сотрудниками Фонда Подготовить необходимые документы Приехать на образовательный тренинг перед программой и принять участие в реабилитации благополучателей;"Обучающий тренинг включает освоение методики терапевтической рекреации (therapeutic recreation); изучение психологических особенностей участников конкретной программы, влияния заболевания/травматического опыта на психическую сферу, игротехнологий, принципов коммуникации, управления поведением в конфликтных ситуациях. Мягкие навыки, развивающиеся в период прохождения программы: самоорганизация, нетворкинг, тайм-менеджмент, умение давать и воспринимать обратную связь, гибкость и быстрая адаптация к меняющимся вводным; развитие инклюзивного сознания: адаптация языка, занятий, окружающего пространства для людей с различными особенностями ментального и физического здоровья.";;;;
Отклонена;2024-09-23;"АНО по оказанию социальных услуг """"Светлица""""";Центр дополнительного образования Светлица;"Культура. Проекты, связанные с организацией выставок, культурных событий, исследованиями в области искусства и культурного наследия; Образование и просвещение. Проекты, связанные с созданием учебных программ, разработкой образовательных онлайн-платформ, технологическими инновациями для учебного процесса и педагогическими исследованиями";"Проведение занятий бесплатных кружков дополнительного образования для детей из многодетных и малоимущих семей. Проведение творческих мастер-классов. Организация профориентационных встреч, экскурсий.  В качестве преподавателей приглашаем школьников 8-11 классов, студентов колледжей и ВУЗов.  АНО ""Светлица"" обладает всей необходимой материальной базой: два учебных класса, цифровая техника, наборы рисования песком, наборы по робототехнике, канцелярские принадлежности и наборы для творчества и т.д.";Дети от 6 до 16 лет из многодетных и малоимущих семей.;Привлечение старшеклассников и студентов к проведению занятий кружков дополнительного образования по основным школьным предметам. Открытие новых учебных групп. Наставничество молодых преподавателей опытными взрослыми педагогами. Помощь в составлении программ занятий, организации дисциплины, решении сложных педагогических вопросов. Для волонтеров проводятся экскурсии, походы, посещения театров. Это помогает сплотить коллектив и повысить интерес молодежи к деятельности организации.;Успешное проведение курса занятий на протяжении всего учебного года.;;;;
Отклонена;2024-09-23;"Автономная некоммерческая организация """"Ресурсный центр социальных инициатив """"Волонтеры Балашихи""""";Приобщение всех поколений к помощи бойцам СВО;Другое;"В рамках работы волонтёрской организации ""Сетевые пчëлки Балашихи"" проводятся мастер-классы для школьников и студентов города по плетению маскировочных сети для бойцов  СВО. Данные мастер-классы привлекают к участию всех  неравнодушных жителей, родителей и учащихся  городского округа Балашиха. В ходе реализации проекта  изготавливаются сети и   передаются на фронт солдатам.  Данный проект способствует формированию   гражданской позиции у детей и взрослых  и пробудит чувство сопричастности к событиям  нашей Родины. Проект носит бессрочный характер.";Школьники, студенты, серебряные волонтёры.;На базе многих образовательных учреждений, а также домов культуры организованны пункты плетения маскировочных сетей. Любой желающий может присоединиться к этому процессу.  В образовательных учреждениях с детьми работают педагоги, взрослое население оповещается при помощи платформы добро.ру;Регулярная отправка маскировочных сетей на фронт.  Формирование гражданской позиции и любви к Родине у участников проекта.;;;;
Отклонена;2024-09-23;Молодежный совет Управления Федеральной службы судебных приставов по Владимирской области;Государственная служба для молодежи!;Юриспруденция. Проекты, связанные с юридическим консультированием, разработкой правовых документов, анализом законодательства и предоставлением правовой поддержки в различных сферах деятельности;Через молодежное движение службы судебных приставов Владимирской области обеспечить взаимодействие с молодым обучающимся поколением с дальнейшим привлечением к трудоустройству;Целевая аудитория:  - студенты,  - лица без постоянного источника дохода,  - те, кто хочет стабильности и уверенности в своем будущем;Взаимодействие через добрые дела, участие в акциях, мероприятиях, спортивных играх;Поднятие авторитета службы судебных приставов,  Привлечение молодежи на государственную службу,  Обеспечение рабочими местами лиц со средним и высшим образованием;;;;
Отклонена;2024-09-23;"Межрегиональный благотворительный общественный фонд """"Право матери""""";"Верификация сообщества благотворительного фонда ""Право Матери"" в социальной сети ВКонтакте, + увеличение числа подписчиков электронной рассылки фонда";"Ит-решения. Проекты, связанные с разработкой программного обеспечения, веб-приложений, систем аналитики данных, кибербезопасности и автоматизации бизнес-процессов, концепции механизмов администрирования информационных систем; Маркетинг и коммуникации. Проекты по разработке маркетинговых стратегий, проведению исследований рынка, управлению брендами, организации мероприятий и публичных коммуникаций";"Повышение устойчивости благотворительного фонда ""Право Матери"", 30 лет помогающего семьям погибших солдат (Афганистан, Чечне и др.), за счет привлечения бОльшего числа сторонников и жертвователей, модернизация социальных сетей, он-лайн фандрайзинг. Задачи прямо и непосредственно связаны с деятельностью организации, оказывающей бесплатную помощь семьям погибших военнослужащих, столкнувшейся с тем, что в период СВО семьи погибших в иных конфликтах ""отодвинуты"" на второй план.";а) Семьи погибших военнослужащих советской и российской армии (Афганистан. Чечня и др.) ,  б) волонтеры и сторонники фонда;"1) Верификация сообщества благотворительного фонда ""Право Матери"" в социальной сети ВКонтакте для чего необходимо увеличить число подписчиков с 1800+ до 5000+ человек,  2) Увеличение числа подписчиков электронной рассылки фонда ""Право Матери"" с 800 до 4000 человек.";"1) Увеличение числа подписчиков группы фонда в социальной сети Вконтакте с 1800+ до 5000+ человек,  2) Увеличение числа подписчиков электронной рассылки фонда ""Право Матери"" (потенциальных и реальных жертвователе) с 800 до 4000 человек.";;;;
Отклонена;2024-09-23;Частное образовательное учреждение дополнительного образования «Учебный центр «Рост.ok!»;"Проект ""Терапия радостью"" - поддержка детей с заболеваниями крови во время госпитального лечения.";Другое;Госпитализация – это психотравмирующий фактор. Дети с заболеваниями крови находятся на госпитальном лечении от 10 дней до 9 месяцев, что пагубно сказывается на эмоциональном состоянии детей, снижает их коммуникативный и познавательный потенциал, препятствует выздоровлению и возвращению в привычную среду. Задача -снизить последствия психотравмирующих условий для детей, проходящих лечение в соматическо-педиатрическом отделении детской областной больницы Череповца.;Дети от 2 до 12 лет с заболеваниями крови, находящиеся на госпитальном лечении в Детской областной больнице г. Череповца.;1. Изучение проблемы и профиля благополучателей. 2. Выбор методов и форм работы с благополучателями. 3. Разработка сценариев активностей в больнице. 4. Проведение мероприятий для детей, находящихся на госпитальном лечении.;Комплекс очных мероприятий для пациентов соматическо-педиатрического отделения Детской областной больницы.;;;;
Отклонена;2024-09-23;"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ЦЕНТР ПОДДЕРЖКИ ПАТРИОТИЧЕСКИХ, СОЦИАЛЬНЫХ, БЛАГОТВОРТИТЕЛЬНЫХ ПРОЕКТОВ """"КРУЖОК ДОБРА""""";руководитель;"Культура. Проекты, связанные с организацией выставок, культурных событий, исследованиями в области искусства и культурного наследия; Другое";Мы с начала СВО занимаемся патриотическим воспитанием устным и материальным. Материальная часть связана именно с развитием ребенка путем личного участия в создании талисмана для военного. Научиться делать самому с дальнейшей возможностью обучать других - эта задача самая важная. Ведь сейчас сложно разговорить молодежь и побудить говорить о том что ты делаешь публично.;Основная целевая группа нашей деятельности это дети, подростки и молодежь. То есть те кто легко может быть обучен новому, сможет быть своим среди сверстников и не только. Кто сможет и захочет добиваться результатов и реализовывать амбиции. Для кого общение в группе будет интересным опытом и даст результаты.;На сегодняшний день опыт нашей организации по патриотическому воспитанию заключен в выездных мастер-классах, в основном по Крыму. Мы планируем расширяться в разрезе работы с другими волонтерскими организациями и проведением мастер-классов по принципу удаленной работы. Это поможет стереть границы и расширить область влияния.;Наш продукт в этой работе - это талисман военному и осознанное решение его создать и подписать детьми, подростками и молодежью. Но главный продукт - это радость пацанов выполняющих свои задачи в рамках СВО при получении наших талисманов. В обратной связи взрослые мужчины льют слёзы или смеются как дети. Они бережно хранят свои подарки и это самое главное для нас.;;;;
Отклонена;2024-09-23;"Автономная некоммерческая организация культурно-просветительский центр """"Русская изба""""";Разработка единого дизайна организации;"Искусство, дизайн. Проекты, связанные с созданием произведений искусства в живописи, графике, кино и телевидении, музыке, а также с дизайном интерьеров, разработкой ландшафтного дизайна, оформлением общественных пространств; Решения для развития региона. Проекты по созданию и развитию инфраструктуры, улучшению условий жизни в регионе, разработке программ для поддержки социально-экономического развития; Маркетинг и коммуникации. Проекты по разработке маркетинговых стратегий, проведению исследований рынка, управлению брендами, организации мероприятий и публичных коммуникаций";"Повышение узнаваемости Автономной некоммерческой организации, в том числе в социальных сетях, через создание единого стиля, разработку бланка, эмблемы.  Отсутствие единого стиля влияет на идентификацию организации, не позволяет визуально отразить предмет деятельности АНО и верно транслировать цели; сдерживает рост её влияния в обществе.";Основные благополучатели  - это жители Вытегорского района, т.к.  организация находится в г. Вытегра. Кроме того, 60% подписчиков сообщества социальной сети ВК тоже составляют жители района.;В процессе выполнения социальной задачи студенты изучают направления и особенности деятельности АНО, разрабатывают варианты единого стиля организации и после согласования с заказчиком в этом выбранном стиле работают над выполнением заказа.;"Создан свой стиль, бланк, эмблема организации;  Изменено оформление группы Вконтакте https://vk.com/izba_vytegra; Расширен функционал, действующий для сообществ ВК; Рост осведомлённости о деятельности АНО - рост числа подписчиков; Разработаны рекомендации по ведению сообщества; Улучшение связей с общественностью - укрепление доверия и авторитета.";;;;
Отклонена;2024-09-23;"муниципальное бюджетное учреждение """"Молодежный центр """"ГОР.СОМ 35""""";Время для экологии!;Экология. Проекты, связанные с оценкой и мониторингом экосистем, разработкой устойчивых методов использования природных ресурсов и решением проблем экологического сохранения;"Одним из приоритетных направлений Волонтёрского центра г. Вологды является направление - ""Экология"". Все школы нашего города состоят в Ассоциации школьных экологических отрядов. Именно поэтому обучающиеся должны научиться бережно относиться к природе, разбираться в экологической культуре и нести ответственность за свое отношение к окружающей среде!";Школьники г. Вологды;"Осуществить выходы Волонтерского центра в школы г. Вологды с целью ознакомления с нашей организацией и обучения школьников экологической культуре. Провести интерактивное занятие ""Весёлая переработка"" - совместная отсортировка, заранее подготовленных, макетов мусора (чистые пластиковые бутылки и крышки, картон, бумага, блистеры и др.). Именно с помощью интерактивной практики обучающиеся поймут: зачем, для чего и как правильно сортировать мусор.";Активные и самостоятельные эко-отряды, вступившие в Ассоциацию экологических школьных отрядов г. Вологды!;;;;
Отклонена;2024-09-26;Отделение Российского исторического общества в Оренбургской области;Разработка инновационных способов исторического просвещения силами молодежи и для молодежи;"Культура. Проекты, связанные с организацией выставок, культурных событий, исследованиями в области искусства и культурного наследия; Образование и просвещение. Проекты, связанные с созданием учебных программ, разработкой образовательных онлайн-платформ, технологическими инновациями для учебного процесса и педагогическими исследованиями; Урбанистика. Проекты, связанные с планированием и развитием городской среды, улучшением городской инфраструктуры и созданием комфортных условий для жизни в городе";Задача - предложить и апробировать целиком или в какой-то части новые оригинальные способы исторического просвещения , созданные молодежью для молодежной среды;вузы, школы, молодые лица от 10 до 25 лет;Механизм действий - согласование предлагаемых инновационных идей с руководством отделения РИО в Оренбургской области, разработка конкретного плана по реализации идеи, ее концепции, ее частичная или полная апробация, получение экспертного заключения оренбургского отделения РИО;инновационные способы исторического просвещения любой формы;;;;
